"Order","n","b ± 1 SE  Signif.  Min.  Max.","X4","X5","X6","a ± 1 SE","Signif.   Min.","X9","Max."
"Decapoda",9,"3.626 ± 0.084","c",3.357,4.066,"0.0147 ± 0.0030",NA,0.0041,0.0307
"Amphipoda",7,"3.015 ± 0.087","d",2.74,3.404,"0.0058 ± 0.0014","c",0.001,0.012
"Coleoptera",9,"2.910 ± 0.117","d",2.311,3.521,"0.0077 ± 0.0021","c",0.0011,0.0181
"Trichoptera",34,"2.839 ± 0.060","d",2.389,4.179,"0.0056 ± 0.0006","c",5e-04,0.018
"Megaloptera",7,"2.838 ± 0.053","d",2.691,3.001,"0.0037 ± 0.0006","c",0.0018,0.0062
"Ephemeroptera",54,"2.832 ± 0.046","d",2.252,4.14,"0.0071 ± 0.0007","c",1e-04,0.0257
"Odonata",18,"2.792 ± 0.052","d",2.239,3.124,"0.0078 ± 0.0009","c",0.0015,0.018
"Plecoptera",36,"2.754 ± 0.041","d",1.95,3.232,"0.0094 ± 0.0017","c",0.0019,0.0538
"Hemiptera",4,"2.734 ± 0.068","d",2.596,2.904,"0.0108 ± 0.0032","c",0.0031,0.0169
"Diptera",43,"2.692 ± 0.052","d",2.091,3.83,"0.0025 ± 0.0003","c",2e-04,0.0066
"All Insects",205,"2.788 ± 0.022",NA,1.95,4.179,"0.0064 ± 0.0004",NA,1e-04,0.0538
