Taxon,Group,Further_grouping,Mass type,"Equation M[mg], L[mm]",a,b,Min (mm),Max (mm),Reference,Details of body length measurement,Regression_specificity
Annelida,All,,ash free dry mass,M = 1000*exp(a + b * log(L)),-11.8423,2.3225,,,"(Hale, Reich & Frelich, 2004)",Total length,General
,,,mass,,,,,,,,Lumbricidae
Araneae,Araneae < 2.5 mm,,Fresh mass,M = exp(a + b * log(L)),-1.958,2.746,0.56,2.5,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,Group specific
,,,,,,,,,,opisthosoma (excl spinnerets),
Araneae,hunting,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,Group specific
,,,,,,,,,,opisthosoma (excl spinnerets),
Araneae,web-building,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,Group specific
,,,,,,,,,,opisthosoma (excl spinnerets),
Araneae,spiders random,,fresh mass,M = exp(a + b * log(L)),-1.844,2.711,1.8,21.5,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Anapidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Araneidae,,Fresh mass,M = exp(a + b * log(L)),-1.923,2.923,2.1,21.2,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Barychelidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Clubionidae,,Fresh mass,M = exp(a + b * log(L)),-2.156,2.653,2.5,9,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Corinnidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Ctenidae,,Fresh mass,M = exp(a + b * log(L)),-1.758,2.894,1.3,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,Group specific
,,,,,,,,,,opisthosoma (excl spinnerets),
Araneae,Deinopidae,,fresh mass,M = exp(a + b * log(L)),-1.844,2.711,1.8,21.5,"(Edwards, 1996)",clypeus to tip of spinnerets,"inferred, spiders"
,,,,,,,,,,,random sample
Araneae,Gnaphosidae,,Fresh mass,M = exp(a + b * log(L)),-2.83,3.055,3,13.1,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Hexathelidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Lamponidae,,Fresh mass,M = exp(a + b * log(L)),-2.83,3.055,3,13.1,"(Edwards, 1996)",clypeus to tip of spinnerets,"inferred,"
,,,,,,,,,,,Gnaphosidae
Araneae,Linyphiidae,,Fresh mass,M = exp(a + b * log(L)),-1.892,2.754,1.5,5.5,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Lycosidae,,Fresh mass,M = exp(a + b * log(L)),-2.043,2.842,2,23.5,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Micropholcommatidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Miturgidae,,Fresh mass,M = exp(a + b * log(L)),-2.83,3.055,3,13.1,"(Edwards, 1996)",clypeus to tip of spinnerets,"inferred,"
,,,,,,,,,,,Gnaphosidae
Araneae,Mysmenidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Nemesiidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Nephilidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Ochyroceratidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Oonopidae,,Fresh mass,M = exp(a + b * log(L)),-2.039,2.666,0.67,2.5,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,Group specific
,,,,,,,,,,opisthosoma (excl spinnerets),
Araneae,Oxyopidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Palpimanidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Pararchaeidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Philodromidae,,Fresh mass,M = exp(a + b * log(L)),-1.985,2.94,2.5,8.6,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Pholcidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Prodidomidae,,Fresh mass,M = exp(a + b * log(L)),-2.83,3.055,3,13.1,"(Edwards, 1996)",clypeus to tip of spinnerets,"inferred,"
,,,,,,,,,,,Gnaphosidae
Araneae,Salticidae,,Fresh mass,M = exp(a + b * log(L)),-2.184,2.901,4,13,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Scytodidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Segestriidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Sparassidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Stenochilidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Araneae,Symphytognathidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Telemidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Tetrablemmidae,,Fresh mass,M = exp(a + b * log(L)),-2.039,2.666,0.67,2.5,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, Oonopidae"
,,,,,,,,,,opisthosoma (excl spinnerets),
Araneae,Tetragnathidae,,Fresh mass,M = exp(a + b * log(L)),-2.615,2.574,3.5,9,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Theridiidae,,Fresh mass,M = exp(a + b * log(L)),-1.577,2.907,1.5,7.5,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Theridiosomatidae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Thomisidae,,Fresh mass,M = exp(a + b * log(L)),-1.644,2.973,1.8,8,"(Edwards, 1996)",clypeus to tip of spinnerets,Group specific
Araneae,Uloboridae,,Fresh mass,M = exp(a + b * log(L)),-1.784,2.255,0.56,10.67,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, web-"
,,,,,,,,,,opisthosoma (excl spinnerets),building
Araneae,Unidentifiable < 1.8,,Fresh mass,M = exp(a + b * log(L)),-1.958,2.746,0.56,2.5,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, Araneae <"
,,,,,,,,,,opisthosoma (excl spinnerets),2.5 mm
Araneae,Unidentifiable > 1.8,,fresh mass,M = exp(a + b * log(L)),-1.844,2.711,1.8,21.5,"(Edwards, 1996)",clypeus to tip of spinnerets,"inferred, spiders"
,,,,,,,,,,,random sample
Araneae,Zodariidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Archaeognatha,All,,Dry mass,M = exp(a + b * log(L)),-3.628,2.494,2.13,54.51,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, all insect"
,,,,,,,,,,appendages,taxa
Blattodea,Blaberidae,,Dry mass,M = exp(a + b * log(L)),-3.98,2.76,2.2,14,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred, Blattodea"
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Blattodea,Blattellidae,,Dry mass,M = exp(a + b * log(L)),-3.98,2.76,2.2,14,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred, Blattodea"
