sex,age_years,level_hearing_loss,2007_mean,2007_se,2008_mean,2008_se,2009_mean,2009_se,2010_mean,2010_se,2011_mean,2011_se,2012_mean,2012_se,2013_mean,2013_se,2014_mean,2014_se
male,18-44,any,6.8,0.4,8.1,0.5,7.4,0.5,7.7,0.4,7.2,0.4,6.9,0.4,6.1,0.4,7.4,0.5
male,45-54,any,18.7,1.1,18.5,1.1,16.7,1,18.2,1,18.3,0.9,18.7,1,16.4,1,18.1,1.2
male,55-64,any,28.4,1.4,28,1.4,29.3,1.4,30.1,1.4,30,1.1,29.1,1.1,27.4,1.2,30.2,1.2
male,65-74,any,39.4,1.7,35.9,1.8,36.2,1.7,41,1.7,38.7,1.5,39.3,1.5,38.7,1.4,41.9,1.5
male,>75,any,54.6,2.1,49,2.3,53.1,2,53.1,1.9,56.5,1.7,52.1,1.8,54.8,1.9,57,1.8
female,18-44,any,5.1,0.3,5.8,0.4,5.4,0.3,5.8,0.4,5.1,0.3,5.4,0.3,4.5,0.3,5.3,0.3
female,45-54,any,11,0.8,12,0.9,11.4,0.8,13,0.8,12.5,0.7,13.3,0.8,10.8,0.7,12.8,0.8
female,55-64,any,15,1.1,17.5,1.1,15.4,0.9,16.7,0.9,16.4,0.9,17.1,0.8,16.1,0.8,16.9,0.8
female,65-74,any,21.8,1.3,20.7,1.4,21.7,1.3,22.8,1.2,22.8,1.1,20.8,1.1,21.8,1,25.5,1.2
female,>75,any,38.8,1.6,38.6,1.6,38.9,1.5,39.9,1.4,41.1,1.3,39.1,1.4,42.9,1.5,39.5,1.4
male,18-44,moderate,1.6,0.2,2.2,0.3,1.8,0.2,1.9,0.2,1.8,0.2,1.8,0.2,1.6,0.2,2,0.2
male,45-54,moderate,5.3,0.7,5.7,0.7,5.8,0.6,5.7,0.6,6.1,0.7,5.6,0.6,5,0.5,4.9,0.5
male,55-64,moderate,12.9,1.2,10.3,0.9,11.2,0.9,11.5,1,11.2,0.8,10.3,0.9,10.1,0.7,10.9,0.8
male,65-74,moderate,17.7,1.3,17.1,1.5,15.8,1.3,17.9,1.2,17.3,1.1,16.1,1.1,16.5,1.1,19.3,1.1
male,>75,moderate,34.8,2.2,25.1,1.9,33.3,2,29.7,1.9,32.2,1.7,31.8,1.7,30.6,1.7,33.2,1.8
female,18-44,moderate,1,0.2,1.6,0.2,1.5,0.2,1.4,0.2,1.3,0.2,1.3,0.1,1.1,0.1,1.3,0.2
female,45-54,moderate,2.9,0.4,3.1,0.4,3.2,0.6,3.9,0.5,3.3,0.4,3.7,0.4,2.9,0.4,2.9,0.4
female,55-64,moderate,4.3,0.6,3.7,0.5,4,0.5,4.4,0.5,4.3,0.5,4.1,0.4,5.1,0.5,5.7,0.5
female,65-74,moderate,6.9,0.8,7.3,0.8,7.5,0.9,8.6,0.8,8.5,0.7,5.9,0.7,8.3,0.7,8.4,0.8
female,>75,moderate,20.9,1.3,18.8,1.2,19.8,1.2,19.7,1.1,19.3,1,18.1,1.1,20.2,1.2,20.4,1.1
male,18-44,high,*0.5,0.1,*0.6,0.2,*0.2,0.1,*0.7,0.1,*0.6,0.1,*0.5,0.1,*0.4,0.1,*0.6,0.1
male,45-54,high,1.5,0.3,*1.6,0.4,*1.4,0.4,*1.1,0.3,*1.8,0.4,1.6,0.3,*1.4,0.3,1.4,0.3
male,55-64,high,4.7,0.8,3,0.5,3.9,0.5,3.9,0.5,3.2,0.4,2.8,0.4,3.1,0.4,3.8,0.5
male,65-74,high,7,0.9,5.7,0.8,5.2,0.8,6.7,0.8,6,0.7,5.9,0.8,6,0.8,6.9,0.7
male,>75,high,16.9,1.8,12.3,1.4,15.3,1.7,14.5,1.5,14.7,1.2,14.2,1.3,14.1,1.3,15.5,1.3
female,18-44,high,*0.3,0.1,*0.5,0.1,*0.5,0.1,*0.3,0.1,0.5,0.1,0.4,0.1,*0.4,0.1,*0.5,0.1
female,45-54,high,*1.0,0.2,*1.1,0.2,*,*,*1.3,0.3,1.1,0.2,*1.1,0.2,*0.9,0.2,*1.2,0.3
female,55-64,high,*1.3,0.3,*1.0,0.2,*1.2,0.3,1.6,0.3,1.6,0.3,1.3,0.2,1.7,0.3,1.7,0.3
female,65-74,high,2.8,0.5,*2.0,0.4,*3.2,0.7,2.9,0.5,3.3,0.5,*2.2,0.5,3.1,0.5,3.3,0.5
female,>75,high,11.1,1,7.9,0.9,8.8,0.9,8.9,0.8,9.5,0.8,9,0.8,9.5,0.8,9.2,0.8
