sample_id,site,date,fish,length_mm,pic_1,pic_2
242,little bridge,6/27/2019,fathead minnow,44,,
239,burbank,6/27/2019,spotfin shiner,48,002.jpeg,003.jpeg
237,burbank,6/27/2019,spotfin shiner,41,004.jpeg,005.jpeg
126,burbank,6/27/2019,spotfin shiner,40,,
1,burbank,6/4/2019,gar,63,,
2,gunderson,6/5/2019,bluegill,53,,
3,gunderson,6/5/2019,bluegill,68,,
4,burbank,6/6/2019,black bullhead catfish,77,,
5,spirit mound,6/7/2019,johnny darter,48,,
6,gunderson,6/5/2019,bluegill,55,033.jpeg,NA
7,little bridge,6/6/2019,black bullhead catfish,100,,
8,gunderson,6/5/2019,bluegill,79,024.jpeg,NA
9,little bridge,6/6/2019,sand shiner,51,,
10,gunderson,6/5/2019,black bullhead catfish,71,,
11,spirit mound,6/7/2019,johnny darter,56,,
12,burbank,6/6/2019,spotfin shiner,59,,
13,burbank,6/6/2019,spotfin shiner,47,,
14,burbank,6/6/2019,spotfin shiner,64,,
15,gunderson,6/7/2019,river shiner,62,042.jpeg,043.jpeg
16,spirit mound,6/7/2019,creek chub,109,,
18,little bridge,6/6/2019,black bullhead catfish,70,,
20,burbank,6/6/2019,spotfin shiner,58,,
21,spirit mound,6/7/2019,creek chub,58,,
22,little bridge,6/6/2019,creek chub,105,,
23,burbank,6/6/2019,spotfin shiner,53,,
24,gunderson,6/7/2019,river shiner,42,,
25,little bridge,6/6/2019,green sunfish,41,,
26,gunderson,6/7/2019,bluegill,47,,
27,spirit mound,6/7/2019,johnny darter,54,,
28,burbank,6/6/2019,spotfin shiner,47,,
29,spirit mound,6/7/2019,sand shiner,58,,
30,spirit mound,6/7/2019,creek chub,87,,
31,burbank,6/6/2019,spotfin shiner,43,,
32,burbank,6/6/2019,spotfin shiner,57,,
33,burbank,6/6/2019,spotfin shiner,45,,
34,spirit mound,6/7/2019,creek chub,69,,
35,spirit mound,6/7/2019,creek chub,97,,
36,little bridge,6/6/2019,black bullhead catfish,92,,
37,spirit mound,6/7/2019,sand shiner,56,,
38,spirit mound,6/7/2019,johnny darter,56,,
39,spirit mound,6/7/2019,fathead minnow,47,,
40,spirit mound,6/7/2019,johnny darter,47,,
42,gunderson,6/7/2019,bluegill,49,,
43,burbank,6/6/2019,spotfin shiner,62,,
45,spirit mound,6/7/2019,black bullhead catfish,79,,
46,little bridge,6/13/2019,johnny darter,44,,
47,little bridge,6/13/2019,black bullhead catfish,94,,
48,burbank,6/13/2019,red shiner,44,,
49,little bridge,6/13/2019,green sunfish,42,,
50,gunderson,6/14/2019,northern pike,88,,
51,gunderson,6/14/2019,bluegill,54,,
52,gunderson,6/14/2019,largemouth bass,150,,
53,gunderson,6/14/2019,northern pike,65,,
54,little bridge,6/13/2019,johnny darter,50,,
55,gunderson,6/14/2019,bluegill,120,,
56,gunderson,6/14/2019,bluegill,91,,
57,burbank,6/13/2019,spotfin shiner,49,,
58,little bridge,6/13/2019,fathead minnow,4,,
59,gunderson,6/14/2019,largemouth bass,110,,
60,burbank,6/13/2019,river shiner,49,,
61,little bridge,6/13/2019,common shiner,126,,
62,burbank,6/13/2019,red shiner,43,,
63,little bridge,6/13/2019,fathead minnow,40,,
64,little bridge,6/13/2019,black bullhead catfish,83,,
65,little bridge,6/13/2019,fathead minnow,51,,
66,burbank,6/13/2019,red shiner,50,,
67,little bridge,6/13/2019,black bullhead catfish,120,,
68,little bridge,6/13/2019,johnny darter,50,,
225,spirit mound,6/14/2019,creek chub,43,,
159,spirit mound,6/21/2019,fathead minnow,46,,
71,little bridge,6/20/2019,johnny darter,43,,
72,gunderson,6/21/2019,bluegill,65,,
73,gunderson,6/21/2019,bluegill,65,,
160,little bridge,6/20/2019,fathead minnow,44,,
116,little bridge,6/20/2019,creek chub,45,,
76,spirit mound,6/7/2019,spotfin shiner,51,,
85,little bridge,6/20/2019,johnny darter,48,029.jpeg,030.jpeg
78,little bridge,6/6/2019,creek chub,125,,
79,burbank,6/6/2019,spotfin shiner,59,,
80,little bridge,6/13/2019,black bullhead catfish,65,,
81,little bridge,6/13/2019,johnny darter,58,,
82,gunderson,6/21/2019,bluegill,66,,
83,spirit mound,6/7/2019,creek chub,90,,
84,little bridge,6/13/2019,black bullhead catfish,87,,
154,little bridge,6/20/2019,johnny darter,48,,
152,little bridge,6/20/2019,johnny darter,51,,
87,little bridge,6/13/2019,black bullhead catfish,110,,
114,spirit mound,6/21/2019,johnny darter,48,,
89,gunderson,6/21/2019,spotfin shiner,43,,
90,gunderson,6/21/2019,bluegill,43,,
91,gunderson,6/21/2019,bluegill,69,,
92,burbank,6/10/2019,spotfin shiner,61,,
93,little bridge,6/13/2019,black bullhead catfish,127,,
94,little bridge,6/13/2019,johnny darter,49,,
95,little bridge,6/13/2019,johnny darter,47,,
96,burbank,6/10/2019,spotfin shiner,47,,
97,burbank,6/10/2019,red shiner,45,,
98,burbank,6/10/2019,river shiner,40,,
99,burbank,6/10/2019,red shiner,51,,
100,burbank,6/10/2019,spotfin shiner,62,,
101,burbank,6/10/2019,spotfin shiner,43,,
102,burbank,6/10/2019,river shiner,37,,
103,burbank,6/10/2019,river shiner,43,,
104,burbank,6/10/2019,red shiner,48,,
105,little bridge,6/13/2019,stickleback,45,,
106,burbank,6/10/2019,common carp,35,,
107,burbank,6/10/2019,red shiner,48,,
108,burbank,6/10/2019,spotfin shiner,58,,
110,spirit mound,6/14/2019,green sunfish,44,,
