Table 1: Number of diet samples collected.,
Fish Species,n
Semotilus atromaculatus,95
Etheostoma nigrum,74
Ictiobus cyprinellus,73
Ameiurus melas,62
Lepomis macrochirus,59
Cyprinus carpio,49
Cyprinella spiloptera,47
Pimephales promelas,30
Luxilus cornutus,27
Lepomis cyanellus,24
Ictiobus bubalus,14
Notropis stramineus,11
Cyprinella lutrensis,10
Notropis blennius,8
Esox americanus,6
Esox lucius,5
Lepomis gibbosus,4
Lepisosteidae,3
Micropterus salmoides,2
Culaea inconstans,1
Micropterus dolomieu,1
Sander vitreus,1
